LANDIS_test,LANDIS_traits,LandR,KNN,CASFRI,Latin_full,EN_generic_short,EN_generic_full,Leading,Notes,Boreal,Broadleaf,Type,PSP,ApproxFBP,FuelClass,BC_Forestry,AB_forestry,MB_forestry,NFI,QCPSP,CanfiCode,CanfiNote,NTEMS_Species_Code,CBM_speciesID,SCANFI,colorHex
,,Celt_occ,,Celt occi,Celtis occidentalis,Hackberry,Common hackberry,Common hackberry leading,,,TRUE,Deciduous,,,CedrMplOther,,,,CELT_OCC,,1500,other hardwood code,,160,,
,,Cerc_can,,Cerci cana,Cercis canadensis,E redbud,Eastern redbud,Eastern redbud leading,,,TRUE,Deciduous,,,CedrMplOther,,,,CERC_CAN,,1500,other hardwood code,,,,
,,Cham_law,,Cham laws,Chamaecyparis lawsoniana,PO cedar,Port Orford cedar,Port Orford cedar leading,,,FALSE,Conifer,,,CedrMplOther,,,,CHAM_LAW,,1000,generic cham code,,,,
chamnoot,CHAM.NOO,Cham_noo,Cham_Noo,Cham noot,Chamaecyparis nootkatensis,Yl ced,Yellow cedar,Yellow cedar leading,Also known as yellow cypress,,FALSE,Conifer,yellow cedar,,CedrMplOther,Yc,,,CHAM_NOO,,1001,,11,57,CHAM_NOO,#FFD300
,,,,,Cornus alternifolia,Pag dgwood,Pagoda dogwood,Pagoda dogwood leading,,,TRUE,Deciduous,pagoda dogwood,,CedrMplOther,,,,CORN_ALT,COA,1500,other hardwood code,,,,
,,Corn_nut,,Corn nutt,Cornus nuttallii,Pa dogw,Pacific dogwood,Pacific dogwood leading,Also known as western dogwood,,TRUE,Deciduous,,,CedrMplOther,,,,CORN_NUT,,1500,other hardwood code,,140,,
,,Crat_spp,Crat_Spp,Crat spp,Crataegus spp,Hawthorn,Hawthorn,Hawthorn leading,,,TRUE,Deciduous,,,CedrMplOther,,,,CRAT_SP,CRA,3910,,,163,,
fagugran,FAGU.GRA,Fagu_gra,Fagu_Gra,Fagu gran,Fagus grandifolia,Am beech,American beech,American beech leading,,Fagu_Gra,TRUE,Deciduous,beech,,CedrMplOther,,,,FAGU_GRA,HEG,2000,,,108,FAGU_GRA,
fraxamer,FRAX.AME,Frax_ame,Frax_Ame,Frax amer,Fraxinus americana,Am ash,American ash,American ash leading,,Frax_Ame,TRUE,Deciduous,white ash,,CedrMplOther,,,,FRAX_AME,FRA,3401,,,145,,#000033
,,Frax_lat,,Frax lati,Fraxinus latifolia,Or ash,Oregon ash,Oregon ash leading,,,TRUE,Deciduous,,,CedrMplOther,,,,FRAX_LAT,,3400,generic ash code,,151,,
,,Frax_nig,Frax_Nig,Frax nigr,Fraxinus nigra,Bl ash,Black ash,Black ash leading,,Frax_Nig,TRUE,Deciduous,black ash,,CedrMplOther,,,,FRAX_NIG,FRN,3402,,12,146,,#000033
,,Frax_pen,Frax_Pen_Sub,Frax penn,Fraxinus pennsylvanica var. subintegerrima,Gn ash,Green ash,Green ash leading,Fraxinus pennsylvanica subintegerrima is a synonym,,TRUE,Deciduous,red ash,,CedrMplOther,,,,FRAX_PEN,FRP,3403,,,149,,
,,Frax_pen,Frax_Pen,Frax penn,Fraxinus pennsylvanica,Rd ash,Red ash,Red ash leading,,,TRUE,Deciduous,red ash,,CedrMplOther,,,,FRAX_PEN,,3403,,,147,,
,,Frax_pro,,Frax prof,Fraxinus profunda,Pmpk ash,Pumpkin ash,Pumpkin ash leading,,,TRUE,Deciduous,,,CedrMplOther,,,,FRAX_PRO,,3400,generic ash code,,152,,
,,Frax_qua,,Frax quad,Fraxinus quadrangulata,Blue ash,Blue ash,Blue ash leading,,,TRUE,Deciduous,,,CedrMplOther,,,,FRAX_QUA,,3400,generic ash code,,150,,
,,Frax_spp,Frax_Spp,Frax spp,Fraxinus spp.,Ash,Ash,Ash leading,,Frax_Spp,TRUE,Deciduous,,,CedrMplOther,,,,FRAX_SP,,3400,,,143,,
,,Gled_tri,Gled_Tri,Gled tria,Gleditsia triacanthos,Hon loc,Honey locust,Honey locust leading,,,TRUE,Deciduous,,,CedrMplOther,,,,GLED_TRI,,2900,,,135,,
,,Gymn_dio,,Gymn dioi,Gymnocladus dioicus,KY coftree,Kentucky coffeetree,Kentucky coffeetree leading,,,TRUE,Deciduous,,,CedrMplOther,,,,GYMN_DIO,,1500,other hardwood code,,159,,
,,Hana_vir,,Hana virg,Hamamelis virginiana,Am witchhz,American witch-hazel,American witch-hazel leading,,,TRUE,Deciduous,,,CedrMplOther,,,,HANA_VIR,,1500,other hardwood code,,,,
,,Jugl_cin,Jugl_Cin,Jugl cine,Juglans cinerea,Butnut,Butternut,Butternut leading,,,TRUE,Deciduous,,,CedrMplOther,,,,JUGL_CIN,NOC,1701,,,101,,
,,Jugl_nig,Jugl_Nig,Jugl nigr,Juglans nigra,Bl walnut,Black walnut,Black walnut leading,,,TRUE,Deciduous,,,CedrMplOther,,,,JUGL_NIG,NON,1702,,,102,,
,,Juni_sco,,Juni scop,Juniperus scopulorum,RM jun,Rocky Mountain juniper,Rocky Mountain juniper leading,,,FALSE,Conifer,,,CedrMplOther,,,,JUNI_SCO,,801,eastern redcedar code,,54,,
,,Juni_vir,Juni_Vir,,Juniperus virginiana,E redced,Eastern redcedar,Eastern redcedar leading,,,FALSE,Conifer,Eastern redcedar,,CedrMplOther,,,,JUNI_VIR,,801,,,53,,
,,Lari_dec,,Lari deci,Larix decidua,Eu larch,European larch,European larch leading,,,FALSE,Conifer,,,CedrMplOther,,,,LARI_DEC,MEU,601,,,43,,
,,Lari_kae,Lari_Kae,Lari kaem,Larix kaempferi,Jp larch,Japanese larch,Japanese larch leading,,,FALSE,Conifer,,,CedrMplOther,,,,LARI_KAE,,605,,,47,,
larilari,LARI.LAR,Lari_lar,Lari_Lar,Lari lari,Larix laricina,Tamarack,Tamarack,Tamarack leading,,Lari_Lar,FALSE,Conifer,tamarack larch,,SprcFrLrch,Lt,Lt,TL,LARI_LAR,MEL,602,,13,44,LARI_LAR,#FFB79F
larilyal,,Lari_lya,Lari_Lya,Lari lyal,Larix lyallii,Alp larch,Alpine larch,Alpine larch leading,,Lari_Lya,FALSE,Conifer,alpine larch,,CedrMplOther,La,La,,LARI_LYA,,604,,,46,,
lariocci,LARI.OCC,Lari_occ,Lari_Occ,Lari occi,Larix occidentalis,W larch,Western larch,Western larch leading,,Lari_Occ,FALSE,Conifer,western larch,,SprcFrLrch,Lw,Lw,,LARI_OCC,,603,,14,45,LARI_OCC,#FFB79F
,,Lari_sib,,Lari sibi,Larix sibirica,Sib larch,Siberian larch,Siberian larch leading,,,FALSE,Conifer,,,CedrMplOther,,,,LARI_SIB,,600,generic larch code,,,,
,,Lari_sp,,Lari x mar,Larix x marschlinsii,Dunk larch,Dunkeld larch,Dunkeld larch leading,,,FALSE,Conifer,,,CedrMplOther,,,,LARI_SP,,600,generic larch code,,,,
,,Lari_spp,Lari_Spp,Lari spp,Larix spp.,Larch,Larch,Larch leading,,Lari_Spp,FALSE,Conifer,,,SprcFrLrch,,,,LARI_SP,,600,,,42,,
,,Liri_tul,,Liri tuli,Liriodendron tulipifera,Tulip tree,Tulip tree,Tulip tree leading,,,TRUE,Deciduous,,,CedrMplOther,,,,LIRI_TUL,,1500,other hardwood code,,126,,
,,Magn_acu,,Magn acum,Magnolia acuminata,Cuc magn,Cucumber magnolia,Cucumber magnolia leading,,,TRUE,Deciduous,,,CedrMplOther,,,,MAGN_ACU,,1500,other hardwood code,,127,,
,,Malu_fus,Malu_Fus,Malu fusc,Malus fusca,Pa apple,Pacific crabapple,Pacific crabapple leading,,,TRUE,Deciduous,,,CedrMplOther,,,,MALU_FUS,,3930,,,,,
,,Malu_pum,,Malu pumi,Malus pumila,Cultivated apple,Cultivated apple,Cultivated apple leading,,,TRUE,Deciduous,,,CedrMplOther,,,,MALU_PUM,,3930,,,,,
,,Malu_spp,Malu_Spp,,Malus spp.,Apple,Apple,Apple leading,,,TRUE,Deciduous,,,CedrMplOther,,,,MALU_SP,MAS,3930,,,165,,
,,Malu_syl,Malu_Spp,,Malus sylvestris,Eur apple,European crabapple,European crabapple leading,,,,,,,CedrMplOther,,,,MALU_SYL,,3930,,,,,
