"","LANDIS_test","LANDIS_traits","LandR","KNN","CASFRI","Latin_full","EN_generic_short","EN_generic_full","Leading","Notes","Boreal"
"93","","","Pice_sp","Pice_Eng_Gla","Pice hybr","Picea engelmannii x glauca","","","","Pice hybr is not on the maual CASFRI list but appears in database","Pice_Eng_Gla"
"94","","","Pice_sp","Pice_Eng_Gla","Pice engx","Picea engelmannii x glauca","","","","","Pice_Eng_Gla"
"95","piceengl","PICE.ENG","Pice_eng","Pice_Eng","Pice enge","Picea engelmannii","","","","","Pice_Eng"
"96","piceglau","PICE.GLA","Pice_gla","Pice_Gla","Pice glau","Picea glauca","Wh spruce","White.Spruce","White spruce leading","","Pice_Gla"
"97","","","Pice_koy","","Pice koya","Picea koyamai","","","","",""
"98","","","Pice_lut","","Pice lutx","Picea x lutzii","","","","",""
"99","picemari","PICE.MAR","Pice_mar","Pice_Mar","Pice mari","Picea mariana","Bl spruce","Black.Spruce","Black spruce leading","","Pice_Mar"
"100","","","Pice_pun","","Pice pung","Picea pungens","","","","",""
"101","picerube","PICE.RUB","Pice_rub","Pice_Rub","Pice rube","Picea rubens","","","","",""
"102","picesitc","PICE.SIT","Pice_sit","Pice_Sit","Pice sitc","Picea sitchensis","","","","",""
"103","","","Pice_sit","","Pice sitx","Picea sitchensis x ?","","","","",""
"104","","","Pice_sp","Pice_Spp","Pice spp","Picea spp.","","","","","Pice_Spp"
"105","","","Pice_sp","","Pice sppx","Picea spp x","","","","",""
"106","","","Pinu_alb","Pinu_Alb","Pinu albi","Pinus albicaulis","Pine","Pine","Pine leading","","Pinu_Alb"
"107","pinubank","PINU.BAN","Pinu_ban","Pinu_Ban","Pinu bank","Pinus banksiana","Pine","Pine","Pine leading","","Pinu_Ban"
"108","","PINU.CON.CON","Pinu_con","Pinu_Con","Pinu conc","Pinus contorta var. contorta","Pine","Pine","Pine leading","","Pinu_Con"
"109","","PINU.CON.LAT","Pinu_con","Pinu_Con_Lat","Pinu cont","Pinus contorta","Pine","Pine","Pine leading","Pinus contorta latifolia is a synonym of var. latifolia","Pinu_Con_Lat"
"110","","","Pinu_fle","Pinu_Fle","Pinu flex","Pinus flexilis","Pine","Pine","Pine leading","",""
"111","","","Pinu_lam","","Pinu lamb","Pinus lambertiana","Pine","Pine","Pine leading","",""
"112","","","Pinu_mon","Pinu_Mon","Pinu mont","Pinus monticola","Pine","Pine","Pine leading","","Pinu_Mon"
"113","","","Pinu_mur","","Pinu murx","Pinus x murraybanksiana","Pine","Pine","Pine leading","",""
"114","","","Pinu_nig","","Pinu nigr","Pinus nigra","Pine","Pine","Pine leading","",""
"115","","","Pinu_pon","Pinu_Pon","Pinu pond","Pinus ponderosa","Pine","Pine","Pine leading","",""
"116","","","Pinu_rad","","Pinu radi","Pinus radiata","Pine","Pine","Pine leading","",""
"117","pinuresi","PINU.RES","Pinu_res","Pinu_Res","Pinu resi","Pinus resinosa","Pine","Pine","Pine leading","","Pinu_Res"
"118","","","Pinu_rig","Pinu_Rig","Pinu rigi","Pinus rigida","Pine","Pine","Pine leading","",""
"119","","PINU.ALL","Pinu_sp","Pinu_Spp","Pinu spp","Pinus spp.","Pine","Pine","Pine leading","","Pinu_Spp"
"120","pinustro","PINU.STR","Pinu_str","Pinu_Str","Pinu stro","Pinus strobus","Pine","Pine","Pine leading","",""
"121","","","Pinu_syl","Pinu_Syl","Pinu sylv","Pinus sylvestris","Pine","Pine","Pine leading","",""
"122","","","Plan_occ","Plat_Occ","Plan occi","Platanus occidentalis","","","","",""
"123","","","Popu_ang","","Popu angu","Populus angustifolia","","","","",""
"124","popubals","POPU.BAL","Popu_bal","Popu_Bal","Popu balb","Populus balsamifera v. balsamifera","","","","","Popu_Bal"
"125","","","Popu_bal","Popu_Tri","Popu balt","Populus trichocarpa","","","","Populus balsamifera trichocarpa is a synonym of Populus trichocarpa","Popu_Tri"
"126","","","Popu_can","","Popu cana","Populus X canadensis","","","","",""
"127","","","Popu_del","Popu_Del","Popu delo","Populus deltoides v. occidentalis","","","","",""
"128","","","Popu_del","Popu_Del","Popu delt","Populus deltoides","","","","",""
"129","","","Popu_del","Popu_Del","Popu delx","Populus deltoides","","","","",""
"130","","","Popu_gra","Popu_Gra","Popu gran","Populus grandidentata","","","","","Popu_Gra"
"131","","","Popu_nig","","Popu nigr","Populus nigra","","","","",""
"132","","","Popu_sp","Popu_Spp","Popu spp","Populus spp.","Decid","Deciduous","Deciduous leading","","Popu_Spp"
"133","poputrem","POPU.TRE","Popu_tre","Popu_Tre","Popu trem","Populus tremuloides","Decid","Deciduous","Deciduous leading","","Popu_Tre"
"134","","","Prun_avi","","Prun aviu","Prunus avium","","","","",""
"135","","","Prun_cer","","Prun cera","Prunus cerasus","","","","",""
"136","","","Prun_ema","","Prun emar","Prunus emarginata","","","","",""
"137","","","Prun_pen","Prun_Pen","Prun pens","Prunus pensylvanica","","","","",""
"138","","","Prun_ser","Prun_Ser","Prun sero","Prunus serotina","","","","",""
"139","","","Prun_sp","","Prun spp","Prunus spp.","","","","",""
"140","","","Prun_vir","Prun_Vir","Prun virg","Prunus virginiana","","","","",""
"141","pseumenz","PSEU.MEN","Pseu_men","Pseu_Men_Gla","Pseu meng","Pseudotsuga menziesii var. glauca","","","","",""
"142","pseumenz","PSEU.MEN","Pseu_men","Pseu_Men_Men","Pseu menm","Pseudotsuga menziesii var. menziesii","","","","",""
"143","pseumenz","PSEU.MEN","Pseu_men","Pseu_Men","Pseu menz","Pseudotsuga menziesii","","","","",""
"144","","","Pyru_com","","Pyru comm","Pyrus communis","","","","",""
"145","","","Quer_alb","Quer_Alb","Quer alba","Quercus alba","","","","",""
"146","","","Quer_bic","Quer_Bic","Quer bico","Quercus bicolor","","","","",""
"147","querelli","QUER.ELL","Quer_ell","","","","","","","",""
"148","","","Quer_gar","Quer_Gar","Quer garr","Quercus garryana","","","","",""
"149","","","Quer_mac","Quer_Mac","Quer macr","Quercus macrocarpa","","","","",""
"150","","","Quer_mue","","Quer mueh","Quercus muehlenbergii","","","","",""
"151","","","Quer_pal","","Quer palu","Quercus palustris","","","","",""
"152","","","Quer_rob","","Quer robu","Quercus robur","","","","",""
"153","querrubr","QUER.RUB","Quer_rub","Quer_Rub","Quer rubr","Quercus rubra","","","","",""
"154","","","Quer_shu","","Quer shum","Quercus shumardii","","","","",""
"155","","","Quer_sp","","Quer spp","Quercus spp.","","","","",""
"156","","","Quer_vel","","Quer velu","Quercus velutina (nigra)","","","","",""
"157","","","Rham_pur","","Rham purs","Rhamnus purshianus","","","","",""
"158","","","Robi_pse","Robi_Pse","Robi pseu","Robina spp.","","","","",""
"159","","","Robi_sp","","Robi spp","Robinia pseudoacacia","","","","",""
"160","","","Sali_amy","","Sali amyg","Salix amygdaloides","","","","",""
"161","","","Sali_beb","Sali_Beb","Sali bebb","Salix bebbiana","","","","",""
"162","","","Sali_dis","","Sali disc","Salix discolor","","","","",""
"163","","","Sali_luc","","Sali luci","Salix lucida","","","","",""
"164","","","Sali_nig","Sali_Nig","Sali nigr","Salix nigra","","","","",""
"165","","","Sali_sco","","Sali scou","Salix scouleriana","","","","",""
"166","","","Sali_sit","","Sali sitc","Salix sitchensis","","","","",""
"167","","","Sali_sp","Sali_Spp","Sali spp","Salix spp.","","","","",""
"168","","","Sass_alb","Sass_Alb","Sass albi","Sassafras albidum","","","","",""
"169","","","Sequ_gig","","Sequ giga","Sequoadendron giganteum","","","","",""
"170","","","Sequ_sem","","Sequ semp","Sequoia sempervirens","","","","",""
"171","","","Sorb_auc","Sorb_Ame","Sorb aucu","Sorbus aucuparia","","","","Sorbus aucuparia is a synonym of Sorbus americana",""
"172","","","Sorb_dec","Sorb_Dec","","","","","","",""
"173","","","Sorb_sp","Sorb_Spp","","","","","","",""
"174","","","Taxu_bre","","Taxu brev","Taxus brevifolia","","","","",""
"175","thujocci","THUJ.OCC","Thuj_occ","Thuj_Occ","Thuj occi","Thuja occidentalis","","","","",""
"176","thujplic","THUJ.PLI","Thuj_pli","Thuj_Pli","Thuj plic","Thuja plicata","","","","",""
"177","","THUJ.SPP.ALL","Thuj_sp","Thuj_Spp","","","","","","",""
"178","tiliamer","TILI.AME","Tili_ame","Tili_Ame","Tili amer","Tilia americana","","","","",""
"179","","","Tili_cor","","Tili cord","Tilia cordata","","","","",""
"180","","","Tili_pla","","Tili plat","Tilia platyphyllos","","","","",""
"181","tsugcana","TSUG.CAN","Tsug_can","Tsug_Can","Tsug cana","Tsuga canadensis","","","","","Tsug_Can"
"182","tsughete","TSUG.HET","Tsug_het","Tsug_Het","Tsug hete","Tsuga heterophylla","","","","",""
"183","","","Tsug_mer","Tsug_Mer_Het","Tsug merx","Tsuga mertensiana","","","","",""
"184","tsugmert","TSUG.MER","Tsug_mer","Tsug_Mer","Tsug mert","Tsuga mertensiana x heterophylla","","","","",""
